ZBEZ,university_share,avg_income,unemprate,benefit_share,SSI,quintile,green_area_sum,blue_area_sum,geometry_x,census_area_m2,green_ratio,blue_ratio
0204,0.834066014587629,-0.0638202931110052,0.240453693941195,0.381672606027958,0.400033328739628,4,19672.49244157674,28229.438818616552,"POLYGON ((3594.409003266046 341529.6560409628, 3573.6990032419662 341532.3060409874, 3551.1990032155613 341535.5960410144, 3516.399003176206 341541.99604106136, 3501.2673358910515 341545.4193304284, 3507.5007031794958 341559.6416410981, 3537.395003213686 341554.99144105986, 3587.2190032731373 341550.34114100225, 3598.1664239369875 341549.6816571008, 3594.409003266046 341529.6560409628))",560413.6452553025,0.035,0.05
0205,0.865794449012386,-0.135456823191883,0.0298311282184075,0.227233166697967,0.317741344241669,4,40386.25365350027,78081.75819805182,"POLYGON ((4495.189004501113 341646.7960402388, 4492.209004488126 341634.21604022104, 4488.947624791349 341620.1034209307, 4413.284704401634 341652.0040403297, 4422.203004427709 341670.172640346, 4496.80642509967 341647.57511193963, 4495.189004501113 341646.7960402388))",417350.0400977988,0.097,0.187
0206,0.582894244465069,0.197921207329798,0.00197878633492102,0.309008536904561,0.346390250976439,4,1428805.1825390514,203225.48879440766,"POLYGON ((4492.209004488126 341634.21604022104, 4495.189004501113 341646.7960402388, 4496.80642509967 341647.57511193963, 4535.133904543646 341635.9656401798, 4605.248604590599 341583.04894002713, 4672.717504613566 341504.99663983565, 4741.509304609919 341389.90263958275, 4795.851804585427 341272.75733934157, 4800.469004582873 341263.076039318, 4802.767904580253 341256.4235393051, 4859.569004521308 341092.0560389869, 4876.699004481698 341013.99603884574, 4888.282104412101 340909.281638667, 4888.339004378939 340867.0060385987, 4874.559004358033 340863.54603860714, 4874.039004356024 340860.20603860356, 4846.761904317254 340856.0507386243, 4834.545804419268 341003.24563887157, 4829.127004446772 341046.2173389457, 4800.032004502635 341162.13593915943, 4751.4961045487735 341297.97613942437, 4730.043104563752 341350.87653953023, 4684.799304575158 341436.33713971265, 4636.380404578017 341518.3581398884, 4565.207404535755 341578.1540400591, 4504.353104486956 341613.60824017506, 4488.947624791349 341620.1034209307, 4492.209004488126 341634.21604022104))",3656655.9300021576,0.391,0.056
0207,0.194077734605763,-0.957496178515997,-0.818646657008604,-0.210640309644006,-0.472822687930903,2,10641.491564292251,9.33464307689813,"POLYGON ((5422.869006249035 342363.4660404399, 5425.5790062513215 342362.0860404363, 5427.349006251928 342360.7060404327, 5428.53550625231 342359.19494042825, 5429.580906252475 342357.86344042514, 5431.589006253296 342355.3060404211, 5432.179006252953 342353.746040415, 5432.639006251724 342352.15604041424, 5432.909006251616 342350.80604041275, 5433.089006249728 342348.9460404059, 5432.77900624785 342347.2260404043, 5432.739006247422 342344.9360404005, 5432.079006243841 342342.75604039896, 5431.379006241821 342341.1660403954, 5430.799006240141 342340.1460403977, 5429.589006238077 342338.81604039576, 5428.4490062355435 342337.476040395, 5427.269006232021 342336.00604039244, 5425.759006230199 342335.21604039334, 5424.7990062265135 342332.7260403922, 5421.679006223178 342332.9960403964, 5420.119006221043 342332.606040393, 5418.349206218996 342332.63404039666, 5415.849806215801 342332.67364039924, 5414.318006213904 342332.697840401, 5413.059006211842 342333.0060404036, 5410.009006208695 342333.8160404097, 5408.229006207651 342334.7860404067, 5406.009006206098 342336.456040415, 5404.619006205222 342337.87604041863, 5403.089006204701 342340.0560404239, 5401.669006205568 342343.21604043245, 5400.889006207673 342346.94604043476, 5401.109006209938 342349.996040442, 5401.599006213144 342352.70604044385, 5402.469006216074 342355.61604044493, 5403.6090062191115 342357.0960404482, 5405.989006225115 342360.2460404504, 5408.339006228811 342361.74604045507, 5410.409006232909 342363.17604045384, 5412.229006235431 342363.8560404526, 5414.6790062390255 342364.4160404522, 5416.519006241691 342364.33604045026, 5419.329006245164 342364.4260404464, 5420.7490062461775 342364.1460404461, 5422.869006249035 342363.4660404399))",384058.3883041782,0.028,0.0
0208,-0.455898988195748,-0.158587462918434,0.179498377375826,-0.0358280007409427,-0.200755396289312,3,3288879.483105799,2698181.904850611,"MULTIPOLYGON (((9774.96900804788 337696.18602859415, 9775.199008042593 337689.136028585, 9766.812976152989 337659.2986754765, 9758.170508001735 337663.8668285599, 9732.241307976514 337674.45012860745, 9714.514207959122 337682.123128633, 9688.585007934425 337690.5897286758, 9592.541007846605 337734.24612884223, 9499.407507759972 337773.1399289975, 9465.276207728262 337787.9566290574, 9424.265707690383 337806.2129291259, 9355.473907627216 337835.5817292426, 9015.483607315371 337984.54242982715, 8860.03380717049 338050.4759300882, 8833.388007173695 338096.82603018824, 8833.458307173853 338096.7960301908, 8824.266107174999 338112.40233022254, 8818.445207175064 338122.28503024764, 8814.060007175334 338129.7291302625, 8810.382807176078 338135.7896302771, 8811.496307178 338136.40843027644, 8824.679007182658 338122.4060302377, 8938.36900728176 338065.4560300335, 9218.573707552101 337958.7770295786, 9303.409007632612 337924.3160294378, 9330.205007652436 337906.4290293837, 9448.839007755549 337848.6060291724, 9597.861507897858 337789.35092892684, 9601.374107900552 337787.8453289177, 9619.956407918206 337779.8802288901, 9644.064707939928 337768.63052884396, 9673.11160796591 337755.0764287915, 9692.991507983299 337745.7999287592, 9703.61790799318 337740.76832874026, 9737.657208022812 337724.65072867926, 9750.719008034555 337718.4660286587, 9754.099008037474 337716.63602865115, 9757.219008040103 337714.85602864344, 9761.407308043372 337712.0368286362, 9761.869008044063 337711.72602863517, 9764.85900804544 337709.7160286298, 9768.849008048866 337707.34602861945, 9773.47800805209 337704.9602286089, 9773.626808052615 337704.8835286116, 9771.799708047463 337701.51792860683, 9771.352208046801 337700.69352860656, 9770.479208044682 337698.9029286066, 9771.027008044546 337698.6545286048, 9774.946242332144 337696.8777188686, 9774.96900804788 337696.18602859415)), ((12141.529010009992 336395.86602412164, 12130.579010006517 336408.44602414966, 12116.88901000126 336423.2860241886, 12095.789009989863 336442.7360242447, 12056.029009965283 336476.6560243359, 11942.509009899275 336573.9260246083, 11865.599009855005 336639.44602478854, 11850.779009844928 336651.51602482516, 11837.01900983574 336661.20602485817, 11808.839009814812 336679.28602491226, 11792.809009805782 336693.76602495275, 11721.624204147134 336742.9127439018, 11742.09250977601 336738.1798250759, 11776.016809802386 336716.76192500815, 11798.776909819746 336701.4812249588, 11815.975109831374 336689.816524921, 11863.04840986006 336650.053924812, 11974.09760992446 336553.81922454387, 11999.38100993825 336531.4650244806, 12029.825809955853 336505.1724244086, 12044.909209963651 336492.14612437505, 12059.875409972958 336480.16482433956, 12076.5689099839 336466.8007243015, 12095.875309997062 336451.34482425824, 12111.407010006043 336438.91082422156, 12127.127010015507 336425.49512418266, 12130.194810014098 336419.45932417363, 12136.149010010033 336404.3860241417, 12138.789010011518 336401.41602413636, 12139.397110011316 336400.7517241342, 12139.43901001161 336400.70602413174, 12140.709010011637 336399.2860241262, 12142.009610010738 336396.4159241207, 12142.209010011198 336395.97602412105, 12142.276355290938 336395.07981385104, 12141.529010009992 336395.86602412164)))",8367813.505714975,0.393,0.322
0209,-0.446621956329603,-0.863534014230115,-1.14364772984338,-1.09391301619165,-0.898591990191329,1,182042.15102173403,586486.2764432966,"POLYGON ((6139.7197067485085 341850.8451389009, 6152.419706743986 341823.5930388458, 6228.884406871967 341863.01593882777, 6246.541606877173 341841.9716387801, 6210.709306803403 341806.3514387598, 6181.276906743109 341776.9681387432, 6144.133506718885 341805.92733882647, 6106.382106693108 341833.382638908, 6139.7197067485085 341850.8451389009))",1276675.6313216323,0.143,0.459
0301,1.16893899949609,0.241092184207318,0.568309116978107,0.664179064381935,0.749626368882975,4,39737.687186243405,358.62762900547204,"POLYGON ((4359.239804040078 341283.763939796, 4341.2874040154575 341280.4812398134, 4344.66860399406 341249.43753975816, 4368.472404001873 341221.18703968916, 4381.193004016352 341218.3146396745, 4389.399804028188 341220.981839668, 4395.965204041012 341226.11113967095, 4399.863404049592 341231.4455396747, 4395.76000405339 341241.70403969474, 4385.091204050219 341255.6556397276, 4380.372304050174 341262.83653974533, 4386.84010406383 341269.2005397482, 4412.173604072664 341240.6782396734, 4432.485504077722 341215.64743961673, 4395.669204002015 341178.05853959173, 4370.618903993186 341207.83973966446, 4348.274103987139 341234.43353973236, 4324.960203979291 341262.15223979764, 4309.819103973786 341278.9647398386, 4352.2292040557195 341313.8397398507, 4367.6517040588105 341295.04823980946, 4375.9345040606395 341283.4076397773, 4376.156304061276 341283.09593977965, 4370.524104049259 341276.993339777, 4359.239804040078 341283.763939796))",560467.9951155154,0.071,0.001
0302,1.37104306683892,0.953676127127598,0.805624521599889,0.869012498799885,1.16980494822777,5,24031.983027506998,25.936854859705523,"MULTIPOLYGON (((3701.9390028265375 340808.13603970595, 3702.2290028280167 340808.76603970584, 3707.7090028436264 340819.99603971746, 3707.5490028434356 340820.08603971824, 3721.3190028828762 340848.54603975173, 3723.939002891346 340853.9660397563, 3725.094753023145 340856.3579159236, 3731.049002859369 340801.9157396648, 3736.1889028564733 340790.9470396461, 3701.5394322667953 340807.31353659934, 3701.9390028265375 340808.13603970595)), ((3703.609002817521 340794.1060396824, 3696.6490028114536 340797.24603969697, 3696.979002812087 340797.926039692, 3697.6158637083067 340799.23699730093, 3697.723902814402 340799.1646396946, 3709.7878713502128 340796.04529495066, 3703.609002817521 340794.1060396824)), ((3724.1838995373723 340790.46086997556, 3724.6999028411087 340790.21473965235, 3724.524667853446 340789.87817090575, 3724.1838995373723 340790.46086997556)), ((3778.147682850601 340699.0152284131, 3782.0991028422395 340700.0272394493, 3774.6093709473435 340673.83806346863, 3778.147682850601 340699.0152284131)))",516918.0206155515,0.046,0.0
0303,1.30797832699292,1.69367621352017,0.824887981419533,0.864106416602456,1.42289490432128,5,231234.86265386362,10574.827984878937,"MULTIPOLYGON (((3688.1690012607214 338867.2360366229, 3684.3758370181345 338866.2781668675, 3686.2790012577802 338867.02723662276, 3689.2397445336546 338867.48617664684, 3688.1690012607214 338867.2360366229)), ((3879.179001506968 338871.3260364365, 3875.8966671665194 338871.28971135855, 3879.1789015068516 338871.3397364365, 3879.180418265371 338871.33963659423, 3879.179001506968 338871.3260364365)))",964859.1201264483,0.24,0.011
0304,0.478071785123106,-0.511055887707821,-0.135149934325935,-0.0944981226792813,-0.0546820434514181,3,572.9298794224549,0.0,"POLYGON ((4252.369001958311 338843.016036015, 4228.709001929676 338844.79603604134, 4185.639001877933 338848.6260360917, 4050.359001713261 338858.78603624087, 3957.3590016017556 338865.5060363468, 3948.8290015914286 338866.1060363576, 3948.8272072001037 338866.10619613214, 3948.829101591341 338866.12103635725, 4050.1389017137076 338858.9647362428, 4271.959201982238 338842.7772359932, 4280.067732606506 338836.8994561992, 4252.369001958311 338843.016036015))",286481.0443857722,0.002,0.0
