district_code,census_district_code,total_flats,no_central_heating,central_heating,owner_private,owner_public,owner_nonprofit,owner_other,num_buildings,total_wohnungen,social_housing_flat_ratio
92200,2215,4451,73,4378,540,2718,1015,178,6,1748,0.393
92200,2216,1189,14,1175,95,344,607,143,4,940,0.791
92200,2217,1923,120,1803,1637,15,37,234,0,0,0.0
92200,2218,3772,31,3741,256,1219,2243,54,2,1097,0.291
92200,2219,3836,123,3713,1638,863,991,344,7,1166,0.304
92200,2220,1639,16,1623,337,758,404,140,1,35,0.021
92200,2221,1681,30,1651,906,12,388,375,0,0,0.0
92200,2222,3102,25,3077,214,735,1684,469,1,26,0.008
92200,2223,3495,48,3447,1123,510,1311,551,2,134,0.038
92200,2224,2700,39,2661,711,198,1668,123,1,41,0.015
92200,2225,1118,47,1071,890,1,211,16,0,0,0.0
92200,2226,2343,148,2195,1887,16,267,173,0,0,0.0
92200,2227,4042,72,3970,2193,253,1437,159,1,182,0.045
92200,2228,2208,24,2184,1014,87,760,347,1,79,0.036
92200,2229,1852,65,1787,1357,16,390,89,0,0,0.0
92200,2230,14,0,14,10,4,0,0,0,0,0.0
92200,2231,1491,1,1490,370,407,619,95,0,0,0.0
92200,2232,2516,17,2499,1044,30,1154,288,0,0,0.0
92300,2301,1615,36,1579,750,239,494,132,3,225,0.139
92300,2302,3061,132,2929,1243,458,788,572,2,19,0.006
92300,2303,2322,58,2264,1619,246,436,21,2,242,0.104
92300,2304,6405,29,6376,1265,1742,2502,896,5,841,0.131
92300,2305,4737,116,4621,1604,1182,1746,205,13,1328,0.28
92300,2306,949,22,927,390,74,316,169,1,65,0.068
92300,2307,6117,198,5919,2340,1751,1439,587,12,653,0.107
92300,2308,4216,39,4177,1100,977,1254,885,4,580,0.138
92300,2309,3995,78,3917,2022,1134,585,254,9,1510,0.378
92300,2310,2684,31,2653,678,1350,417,239,3,701,0.261
92300,2311,4628,95,4533,1852,748,1447,581,14,603,0.13
92300,2312,3034,67,2967,1368,1081,515,70,4,225,0.074
92300,2313,2312,33,2279,1374,183,735,20,1,181,0.078
92300,2314,2759,60,2699,1874,456,267,162,8,584,0.212
92300,2315,1293,29,1264,886,6,382,19,0,0,0.0
92300,2316,1791,48,1743,721,150,356,564,3,42,0.023
92300,2317,153,7,146,139,1,2,11,0,0,0.0
92300,2318,2806,18,2788,598,1168,1022,18,5,1168,0.416
92300,2319,5018,25,4993,198,783,4019,18,8,624,0.124
