Hofname,clean_address,Wohnungen,Lokale
Schlöglgasse 17,"1120 Wien, Schlöglgasse",88,3
Josef-Mikl-Hof,"1120 Wien, Schönbrunner Straße",41,8
Rothenburgstraße 3,"1120 Wien, Rothenburgstraße",97,1
Eichenstraße 50-52,"1120 Wien, Eichenstraße",23,5
Hetzendorfer Straße 96,"1120 Wien, Hetzendorfer Straße",48,3
Gaßmannstraße 1-19,"1120 Wien, Gaßmannstraße",111,8
Hetzendorfer Straße 43-45,"1120 Wien, Hetzendorfer Straße",33,6
Unter-Meidlinger Straße 16-22,"1120 Wien, Unter-Meidlinger Straße",414,12
Jägerhausgasse 52-56,"1120 Wien, Jägerhausgasse",80,2
Wienerbergstraße 14,"1120 Wien, Wienerbergstraße",109,7
Tivoligasse 13,"1120 Wien, Tivoligasse",125,4
Jägerhausgasse 58-66,"1120 Wien, Jägerhausgasse",89,11
Tivoligasse 4-6,"1120 Wien, Tivoligasse",49,4
Liebenstraße 36-40,"1120 Wien, Liebenstraße",89,1
Hohenbergstraße 34,"1120 Wien, Hohenbergstraße",37,0
Hohenbergstraße 36-38,"1120 Wien, Hohenbergstraße",40,5
Hohenbergstraße 40,"1120 Wien, Hohenbergstraße",24,1
Rotenmühlgasse 64,"1120 Wien, Rotenmühlgasse",212,2
Ratschkygasse 41-43,"1120 Wien, Ratschkygasse",90,0
Egger-Lienz-Gasse 2-6,"1120 Wien, Egger-Lienz-Gasse",80,3
Theergasse 3-5,"1120 Wien, Theergasse",138,10
Spittelbreitengasse 46-48,"1120 Wien, Spittelbreitengasse",71,2
Oswaldgasse 15-19,"1120 Wien, Oswaldgasse",45,0
Pohlgasse 52,"1120 Wien, Pohlgasse",21,3
Hetzendorfer Straße 100,"1120 Wien, Hetzendorfer Straße",34,8
Ignazgasse 21-25,"1120 Wien, Ignazgasse",85,0
Zanaschkagasse 14,"1120 Wien, Zanaschkagasse",232,1
Migazziplatz 6,"1120 Wien, Migazziplatz",16,0
Am Schöpfwerk 31,"1120 Wien, Am Schöpfwerk",258,6
Sechtergasse 8-10,"1120 Wien, Sechtergasse",18,2
Am Schöpfwerk 29,"1120 Wien, Am Schöpfwerk",611,41
Zanaschkagasse 12 und 16,"1120 Wien, Zanaschkagasse",606,11
Wilhelmstraße 39,"1120 Wien, Wilhelmstraße",15,0
Wilhelmstraße 40-44,"1120 Wien, Wilhelmstraße",69,3
Altmannsdorfer Straße 10-14,"1120 Wien, Altmannsdorfer Straße",27,0
Flurschützstraße 26,"1120 Wien, Flurschützstraße",19,3
Rollingergasse 6-8,"1120 Wien, Rollingergasse",165,3
Hetzendorfer Straße 23,"1120 Wien, Hetzendorfer Straße",24,0
Schönbrunner Schloßstraße 34,"1120 Wien, Schönbrunner Schloßstraße",71,1
Sechtergasse 7,"1120 Wien, Sechtergasse",26,0
Wanda-Lanzer-Hof,"1130 Wien, Speisinger Straße",101,5
Eduard-Popp-Hof,"1130 Wien, Biraghigasse",146,23
Hetzendorfer Straße 164-182,"1130 Wien, Hetzendorfer Straße",82,5
Wolkersbergenstraße 10,"1130 Wien, Wolkersbergenstraße",7,0
Hetzendorfer Straße 165-187,"1130 Wien, Hetzendorfer Straße",209,28
Fasangartengasse 65,"1130 Wien, Fasangartengasse",59,7
Waldvogelstraße 18-24,"1130 Wien, Waldvogelstraße",203,8
Speisinger Straße 102,"1130 Wien, Speisinger Straße",39,2
Veitingergasse 129-135,"1130 Wien, Veitingergasse",128,6
Ebner-Rofenstein-Gasse 2-14,"1130 Wien, Ebner-Rofenstein-Gasse",43,7
Elisabeth-Barbara-Parma-Hof,"1130 Wien, Waldvogelstraße",41,2
Speisinger Straße 47-53,"1130 Wien, Speisinger Straße",81,10
St.-Veit-Gasse 80,"1130 Wien, Sankt-Veit-Gasse",32,3
Montecuccoliplatz 1-3,"1130 Wien, Montecuccoliplatz",109,3
Dommayergasse 5,"1130 Wien, Dommayergasse",5,2
Vier-Jahreszeiten-Hof,"1130 Wien, Bossigasse",188,10
Gallgasse 2-4,"1130 Wien, Gallgasse",42,5
Spohrstraße 19-31,"1130 Wien, Spohrstraße",168,9
Anton-Langer-Gasse 39-45,"1130 Wien, Anton-Langer-Gasse",33,1
Trazerberggasse 66-88,"1130 Wien, Trazerberggasse",45,2
Gemeindeberggasse 10-24,"1130 Wien, Gemeindeberggasse",68,11
Wattmanngasse 58-60,"1130 Wien, Wattmanngasse",112,14
Himmelhofgasse 9-13,"1130 Wien, Himmelhofgasse",25,3
Hanselmayergasse 9-15,"1130 Wien, Hanselmayergasse",45,1
Waldvogelstraße 2-8,"1130 Wien, Waldvogelstraße",43,6
Fasangartengasse 109-115,"1130 Wien, Fasangartengasse",134,5
Gobergasse 62-72,"1130 Wien, Gobergasse",56,4
Trauttmansdorffgasse 22-24,"1130 Wien, Trauttmansdorffgasse",32,4
Hummelgasse 56-64,"1130 Wien, Hummelgasse",59,6
Hochheimgasse 26,"1130 Wien, Hochheimgasse",32,1
Speisinger Straße 100,"1130 Wien, Speisinger Straße",18,5
Heinrich-Hies-Hof,"1130 Wien, Schluckergasse",84,1
Speisinger Straße 68,"1130 Wien, Speisinger Straße",14,0
Jagdschloßgasse 40,"1130 Wien, Jagdschloßgasse",25,0
Schrutkagasse 1-7,"1130 Wien, Schrutkagasse",28,3
Versorgungsheimstraße 19,"1130 Wien, Versorgungsheimstraße",22,1
Friedrich-Engels-Platz 9,"1200 Wien, Friedrich-Engels-Platz",326,4
Aignerstraße 8-14,"1200 Wien, Aignerstraße",55,0
Hauptstraße 105,"1140 Wien, Hauptstraße",13,1
Pevetzgasse 4,"1140 Wien, Pevetzgasse",0,0
Hüttelbergstraße 26 a,"1140 Wien, Hüttelbergstraße",3,0
Hütteldorfer Straße 265-267,"1140 Wien, Hütteldorfer Straße",51,8
Phillipsgasse 8,"1140 Wien, Phillipsgasse",164,28
Goldschlagstraße 193-195,"1140 Wien, Goldschlagstraße",47,7
Lenneisgasse 11-13,"1140 Wien, Lenneisgasse",133,9
Meiselstraße 67-69,"1140 Wien, Meiselstraße",257,7
Linzer Straße 254,"1140 Wien, Linzer Straße",101,14
Hüttelbergstraße 7,"1140 Wien, Hüttelbergstraße",20,3
Meiselstraße 76,"1140 Wien, Meiselstraße",14,1
Cervantesgasse 9,"1140 Wien, Cervantesgasse",12,0
Neubeckgasse 4,"1140 Wien, Neubeckgasse",15,1
Meiselstraße 73,"1140 Wien, Meiselstraße",11,0
Gründorfgasse 4,"1140 Wien, Gründorfgasse",13,0
Cervantesgasse 3,"1140 Wien, Cervantesgasse",25,0
Hickelgasse 12,"1140 Wien, Hickelgasse",13,4
Mitisgasse 36-38,"1140 Wien, Mitisgasse",42,1
Sebastian-Kelch-Gasse 4-6,"1140 Wien, Sebastian-Kelch-Gasse",23,1
Sebastian-Kelch-Gasse 5-7,"1140 Wien, Sebastian-Kelch-Gasse",36,3
Gründorfgasse 1-3,"1140 Wien, Gründorfgasse",34,3
Fenzlgasse 31,"1140 Wien, Fenzlgasse",24,3
Sebastian-Kelch-Gasse 1-3,"1140 Wien, Sebastian-Kelch-Gasse",49,6
Goldschlagstraße 148-158,"1140 Wien, Goldschlagstraße",254,8
Hickelgasse 16,"1140 Wien, Hickelgasse",15,0
Johanna-Dohnal-Hof,"1140 Wien, Jenullgasse",92,0
Onno-Klopp-Gasse 12-16,"1140 Wien, Onno-Klopp-Gasse",140,13
Goldschlagstraße 144-146,"1140 Wien, Goldschlagstraße",119,9
Linzer Straße 374,"1140 Wien, Linzer Straße",21,0
Dreyhausenstraße 28-30,"1140 Wien, Dreyhausenstraße",25,1
Breitenseer Straße 106-108,"1140 Wien, Breitenseer Straße",146,5
Rupertgasse 6-16,"1140 Wien, Rupertgasse",120,5
Penzinger Straße 138-140,"1140 Wien, Penzinger Straße",123,7
Hickelgasse 11,"1140 Wien, Hickelgasse",13,0
Breitenseer Straße 110-112,"1140 Wien, Breitenseer Straße",425,14
Linzer Straße 60-62,"1140 Wien, Linzer Straße",52,6
Hochsatzengasse 6,"1140 Wien, Hochsatzengasse",21,0
Hickelgasse 8,"1140 Wien, Hickelgasse",33,1
Goldschlagstraße 142,"1140 Wien, Goldschlagstraße",29,1
Lenneisgasse 4-8,"1140 Wien, Lenneisgasse",252,4
Niederpointenstraße 7,"1140 Wien, Niederpointenstraße",165,9
Baumgartenstraße 25-33,"1140 Wien, Baumgartenstraße",48,2
Gustav-Klimt-Hof,"1140 Wien, Linzer Straße",118,13
Hadikgasse 268-272,"1140 Wien, Hadikgasse",240,8
Deutschordenstraße 27-35,"1140 Wien, Deutschordenstraße",137,3
Amortgasse 1-17,"1140 Wien, Amortgasse",226,10
Hütteldorfer Straße 252,"1140 Wien, Hütteldorfer Straße",55,3
Prochstraße 21-23,"1140 Wien, Prochstraße",163,6
Hickelgasse 4-6,"1140 Wien, Hickelgasse",45,3
Wolfersberggasse 13-17,"1140 Wien, Wolfersberggasse",81,6
Hadikgasse 288-294,"1140 Wien, Hadikgasse",75,5
Marcusgasse 4-12,"1140 Wien, Marcusgasse",128,8
Cumberlandstraße 20,"1140 Wien, Cumberlandstraße",23,0
Linzer Straße 253-255,"1140 Wien, Linzer Straße",24,8
Rudolf-Edlinger-Hof,"1140 Wien, Deutschordenstraße",133,5
Dreyhausenstraße 46,"1140 Wien, Dreyhausenstraße",26,1
Sanatoriumstraße 19-25,"1140 Wien, Sanatoriumstraße",145,9
Hauptstraße 89,"1140 Wien, Hauptstraße",14,2
Mühlbergstraße 4-6,"1140 Wien, Mühlbergstraße",18,1
Hütteldorfer Straße 268-276,"1140 Wien, Hütteldorfer Straße",123,10
Breitenseer Straße 68-74,"1140 Wien, Breitenseer Straße",94,3
Käthe-Jonas-Hof,"1140 Wien, Waidhausenstraße",103,7
Rosentalgasse 15,"1140 Wien, Rosentalgasse",103,12
Anzbachgasse 31,"1140 Wien, Anzbachgasse",219,29
Linzer Straße 474-478,"1140 Wien, Linzer Straße",43,8
Salisstraße 5-15,"1140 Wien, Salisstraße",112,5
Linzer Straße 20-26,"1140 Wien, Linzer Straße",48,8
Linzer Straße 397-399,"1140 Wien, Linzer Straße",24,3
Huttengasse 2-4,"1140 Wien, Huttengasse",25,2
Schwendergasse 15,"1150 Wien, Schwendergasse",19,2
Braunhirschengasse 33-37,"1150 Wien, Braunhirschengasse",25,2
Wohnsiedlung Schmelz,"1150 Wien, Wohnsiedlung Schmelz",719,61
Hütteldorfer Straße 3-5,"1150 Wien, Hütteldorfer Straße",68,5
Chrobakgasse 3-5,"1150 Wien, Chrobakgasse",60,2
Oeverseestraße 25-29,"1150 Wien, Oeverseestraße",114,2
Giselhergasse 6-12,"1150 Wien, Giselhergasse",119,17
Neusserplatz 1,"1150 Wien, Neusserplatz",84,1
Geyschlägergasse 2-12,"1150 Wien, Geyschlägergasse",57,4
Pilgerimgasse 4-6,"1150 Wien, Pilgerimgasse",64,3
Gablenzgasse 35-37,"1150 Wien, Gablenzgasse",116,3
Loeschenkohlgasse 30-32,"1150 Wien, Loeschenkohlgasse",77,4
Costagasse 15,"1150 Wien, Costagasse",19,1
Rauchfangkehrergasse 26,"1150 Wien, Rauchfangkehrergasse",33,3
Graumanngasse 31-33,"1150 Wien, Graumanngasse",42,4
Braunhirschengasse 12-20,"1150 Wien, Braunhirschengasse",42,7
Tautenhayngasse 28,"1150 Wien, Tautenhayngasse",150,7
Camillo-Sitte-Gasse 11-13,"1150 Wien, Camillo-Sitte-Gasse",49,0
Matthias-Schönerer-Gasse 14-18,"1150 Wien, Matthias-Schönerer-Gasse",67,0
Jheringgasse 3-5,"1150 Wien, Jheringgasse",35,0
Alliogasse 8-10,"1150 Wien, Alliogasse",118,0
Tellgasse 18,"1150 Wien, Tellgasse",14,0
Nobilegasse 36,"1150 Wien, Nobilegasse",15,0
Sturzgasse 29,"1150 Wien, Sturzgasse",14,0
Plunkergasse 4-12,"1150 Wien, Plunkergasse",155,10
Fünfhausgasse 16-18,"1150 Wien, Fünfhausgasse",42,3
Grimmgasse 17,"1150 Wien, Grimmgasse",13,0
Gablenzgasse 41,"1150 Wien, Gablenzgasse",190,7
Loeschenkohlgasse 3,"1150 Wien, Loeschenkohlgasse",26,0
Graumanngasse 12,"1150 Wien, Graumanngasse",34,4
Kellinggasse 7,"1150 Wien, Kellinggasse",10,1
Gablenzgasse 27,"1150 Wien, Gablenzgasse",44,3
Witzelsbergergasse 16-18,"1150 Wien, Witzelsbergergasse",25,0
Turnergasse 7,"1150 Wien, Turnergasse",19,2
Meiselstraße 11,"1150 Wien, Meiselstraße",57,6
Johnstraße 81,"1150 Wien, Johnstraße",15,0
Oelweingasse 7,"1150 Wien, Oelweingasse",16,1
Alliogasse 21,"1150 Wien, Alliogasse",49,3
Braunhirschengasse 43,"1150 Wien, Braunhirschengasse",10,0
Schwendergasse 21-23,"1150 Wien, Schwendergasse",19,3
Braunhirschengasse 17-21,"1150 Wien, Braunhirschengasse",29,1
Oelweingasse 22-26,"1150 Wien, Oelweingasse",41,4
Braunhirschengasse 9,"1150 Wien, Braunhirschengasse",10,1
Braunhirschengasse 13,"1150 Wien, Braunhirschengasse",10,1
Goldschlagstraße 107,"1150 Wien, Goldschlagstraße",30,3
Jurekgasse 5,"1150 Wien, Jurekgasse",29,5
Sechshauser Straße 94-96,"1150 Wien, Sechshauser Straße",18,3
Oelweingasse 6-8,"1150 Wien, Oelweingasse",26,1
Fünfhausgasse 14,"1150 Wien, Fünfhausgasse",9,1
Jurekgasse 29,"1150 Wien, Jurekgasse",32,0
Braunhirschengasse 36-38,"1150 Wien, Braunhirschengasse",34,1
Meiselstraße 36-42,"1150 Wien, Meiselstraße",67,1
Robert-Hamerling-Gasse 15,"1150 Wien, Robert-Hamerling-Gasse",42,1
Clementinengasse 6,"1150 Wien, Clementinengasse",12,0
Talgasse 2,"1150 Wien, Talgasse",21,0
Anschützgasse 8a,"1150 Wien, Anschützgasse",36,0
Turnergasse 22,"1150 Wien, Turnergasse",21,0
Maria-Jonas-Hof,"1150 Wien, Turnergasse",15,0
Sturzgasse 14,"1150 Wien, Sturzgasse",12,1
Anschützgasse 4a,"1150 Wien, Anschützgasse",47,1
Storchengasse 16-20,"1150 Wien, Storchengasse",37,2
Sturzgasse 37,"1150 Wien, Sturzgasse",25,0
Jurekgasse 6,"1150 Wien, Jurekgasse",14,2
Kranzgasse 5,"1150 Wien, Kranzgasse",21,1
Lehnergasse 4,"1150 Wien, Lehnergasse",10,0
Weiglgasse 6-10,"1150 Wien, Weiglgasse",291,14
Anschützgasse 9-13,"1150 Wien, Anschützgasse",79,1
Kranzgasse 20,"1150 Wien, Kranzgasse",18,0
Geibelgasse 10,"1150 Wien, Geibelgasse",19,0
Grimmgasse 19,"1150 Wien, Grimmgasse",15,0
Reindorfgasse 9,"1150 Wien, Reindorfgasse",29,4
Grimmgasse 4,"1150 Wien, Grimmgasse",16,1
Hagengasse 21,"1150 Wien, Hagengasse",15,1
Dankwartgasse 6,"1150 Wien, Dankwartgasse",16,1
Clementinengasse 3,"1150 Wien, Clementinengasse",26,1
Grimmgasse 8,"1150 Wien, Grimmgasse",13,0
Reindorfgasse 38,"1150 Wien, Reindorfgasse",25,5
Dreihausgasse 8-10,"1150 Wien, Dreihausgasse",33,0
Grimmgasse 15,"1150 Wien, Grimmgasse",17,0
Herklotzgasse 17-19,"1150 Wien, Herklotzgasse",32,0
Grimmgasse 44,"1150 Wien, Grimmgasse",21,1
Dadlergasse 17,"1150 Wien, Dadlergasse",50,4
Hollergasse 12,"1150 Wien, Hollergasse",15,3
Braunhirschengasse 8-10,"1150 Wien, Braunhirschengasse",15,0
Hollergasse 21,"1150 Wien, Hollergasse",14,1
Reichsapfelgasse 9,"1150 Wien, Reichsapfelgasse",37,1
Beckmanngasse 64,"1150 Wien, Beckmanngasse",10,1
Goldschlagstraße 91,"1150 Wien, Goldschlagstraße",12,2
Heinickegasse 3,"1150 Wien, Heinickegasse",13,0
Zinckgasse 5-7,"1150 Wien, Zinckgasse",32,3
Fünfhausgasse 6-8,"1150 Wien, Fünfhausgasse",23,1
Storchengasse 22,"1150 Wien, Storchengasse",21,0
Anschützgasse 10,"1150 Wien, Anschützgasse",19,0
Ortnergasse 5,"1150 Wien, Ortnergasse",11,0
Kellinggasse 13,"1150 Wien, Kellinggasse",14,0
Diefenbachgasse 30,"1150 Wien, Diefenbachgasse",16,0
Sturzgasse 31-33,"1150 Wien, Sturzgasse",22,0
Rustengasse 10,"1150 Wien, Rustengasse",21,1
Toßgasse 5,"1150 Wien, Tossgasse",10,0
Beckmanngasse 66,"1150 Wien, Beckmanngasse",10,0
Karmeliterhofgasse 7-9,"1150 Wien, Karmeliterhofgasse",35,0
Oelweingasse 3-5,"1150 Wien, Oelweingasse",24,1
Rauchfangkehrergasse 17-27,"1150 Wien, Rauchfangkehrergasse",82,1
Kirchstetterngasse 60,"1160 Wien, Kirchstetterngasse",20,2
Neulerchenfelder Straße 52,"1160 Wien, Neulerchenfelder Straße",12,2
Enenkelstraße 35,"1160 Wien, Enenkelstraße",48,4
Josef-Srp-Hof,"1160 Wien, Thaliastraße",19,7
Brüßlgasse 34,"1160 Wien, Brüßlgasse",18,1
Thalhaimergasse 44,"1160 Wien, Thalhaimergasse",17,1
Hella-Hanzlik-Hof,"1160 Wien, Brüßlgasse",49,0
Mildeplatz 7,"1160 Wien, Mildeplatz",22,2
Sulmgasse 22-24,"1160 Wien, Sulmgasse",20,1
Redtenbachergasse 40-44,"1160 Wien, Redtenbachergasse",30,0
Paletzgasse 17,"1160 Wien, Paletzgasse",82,2
Ganglbauergasse 4-12,"1160 Wien, Ganglbauergasse",122,4
Lorenz-Mandl-Gasse 36-38,"1160 Wien, Lorenz-Mandl-Gasse",59,1
Heindlgasse 7-9,"1160 Wien, Heindlgasse",25,0
Arltgasse 2-16,"1160 Wien, Arltgasse",226,8
Pfenninggeldgasse 3-7,"1160 Wien, Pfenninggeldgasse",33,3
Hasnerstraße 111-115,"1160 Wien, Hasnerstraße",37,2
Lorenz-Mandl-Gasse 7-9,"1160 Wien, Lorenz-Mandl-Gasse",31,0
Odoakergasse 10-18,"1160 Wien, Odoakergasse",103,5
Haberlgasse 74,"1160 Wien, Haberlgasse",28,1
Wiesberggasse 6b,"1160 Wien, Wiesberggasse",67,6
Fröbelgasse 55-57,"1160 Wien, Fröbelgasse",30,4
Arltgasse 34-36,"1160 Wien, Arltgasse",27,2
Degengasse 7,"1160 Wien, Degengasse",16,0
Haberlgasse 76,"1160 Wien, Haberlgasse",20,3
Panikengasse 6-8,"1160 Wien, Panikengasse",55,0
Koppstraße 6,"1160 Wien, Koppstraße",30,1
Payergasse 18,"1160 Wien, Payergasse",21,0
Wernhardtstraße 12-16,"1160 Wien, Wernhardtstraße",128,2
Karl-Metschl-Gasse 13-23,"1160 Wien, Karl-Metschl-Gasse",69,2
Klausgasse 1-11,"1160 Wien, Klausgasse",277,9
Winterburgergasse 3-11,"1160 Wien, Winterburgergasse",259,9
Heindlgasse 4,"1160 Wien, Heindlgasse",38,2
Hofferplatz 3,"1160 Wien, Hofferplatz",52,4
Weinheimergasse 7-9,"1160 Wien, Weinheimergasse",102,5
Abelegasse 12,"1160 Wien, Abelegasse",17,2
Maroltingergasse 19-25,"1160 Wien, Maroltingergasse",99,6
Ottakringer Straße 217-221,"1160 Wien, Ottakringer Straße",42,3
Karoline-Pluskal-Hof,"1160 Wien, Sandleitengasse",193,4
Ottakringer Straße 147,"1160 Wien, Ottakringer Straße",25,2
Mildeplatz 3,"1160 Wien, Mildeplatz",32,1
Winterburgergasse 1,"1160 Wien, Winterburgergasse",34,5
Roseggergasse 44-46,"1160 Wien, Roseggergasse",90,10
Friedrich-Kaiser-Gasse 36-38,"1160 Wien, Friedrich-Kaiser-Gasse",26,4
Abelegasse 29,"1160 Wien, Abelegasse",71,1
Haberlgasse 86,"1160 Wien, Haberlgasse",18,0
Friedrich-Kaiser-Gasse 18-24,"1160 Wien, Friedrich-Kaiser-Gasse",41,5
Degengasse 34-38,"1160 Wien, Degengasse",54,1
Ameisbachzeile 119-123,"1160 Wien, Ameisbachzeile",163,9
Arnethgasse 105,"1160 Wien, Arnethgasse",23,3
Bachgasse 14,"1160 Wien, Bachgasse",11,0
Grundsteingasse 6,"1160 Wien, Grundsteingasse",15,0
Feßtgasse 12-14,"1160 Wien, Feßtgasse",39,3
Ganglbauergasse 7,"1160 Wien, Ganglbauergasse",15,0
Grundsteingasse 66,"1160 Wien, Grundsteingasse",16,0
Feßtgasse 16,"1160 Wien, Feßtgasse",29,2
Johann-Nepomuk-Berger-Platz 7,"1160 Wien, Johann-Nepomuk-Berger-Platz",18,0
Sulmgasse 2-6,"1160 Wien, Sulmgasse",63,6
Gerhard-Hanappi-Hof,"1160 Wien, Liebhartsgasse",25,1
Eisnergasse 15-17,"1160 Wien, Eisnergasse",24,1
Ottakringer Straße 103,"1160 Wien, Ottakringer Straße",14,3
Ottakringer Straße 194-196,"1160 Wien, Ottakringer Straße",192,5
Neumayrgasse 7-9,"1160 Wien, Neumayrgasse",104,4
Ottakringer Straße 188,"1160 Wien, Ottakringer Straße",67,4
Ottakringer Straße 145,"1160 Wien, Ottakringer Straße",13,1
Brunnengasse 7,"1160 Wien, Brunnengasse",15,1
Eisnergasse 11-13,"1160 Wien, Eisnergasse",28,0
Bachgasse 22,"1160 Wien, Bachgasse",18,0
Friedrich-Kaiser-Gasse 27,"1160 Wien, Friedrich-Kaiser-Gasse",9,0
Roseggergasse 43,"1160 Wien, Roseggergasse",18,0
Arnethgasse 43-45,"1160 Wien, Arnethgasse",19,0
Richard-Wagner-Platz 3,"1160 Wien, Richard-Wagner-Platz",23,3
Hubert-Pfoch-Hof,"1160 Wien, Thaliastraße",40,5
Abelegasse 14-16,"1160 Wien, Abelegasse",15,1
Arltgasse 38-40,"1160 Wien, Arltgasse",28,0
Sandleitengasse 55,"1160 Wien, Sandleitengasse",34,1
Nattergasse 19,"1170 Wien, Nattergasse",13,0
Balderichgasse 23-29,"1170 Wien, Balderichgasse",133,26
Bergsteiggasse 28,"1170 Wien, Bergsteiggasse",26,7
Kastnergasse 25-27,"1170 Wien, Kastnergasse",41,2
Richthausenstraße 3,"1170 Wien, Richthausenstraße",46,1
Rötzergasse 29-31,"1170 Wien, Rötzergasse",38,3
Dornbacher Straße 84a,"1170 Wien, Dornbacher Straße",21,4
Wattgasse 88,"1170 Wien, Wattgasse",64,5
Wattgasse 96-98,"1170 Wien, Wattgasse",259,15
Weidmanngasse 14,"1170 Wien, Weidmanngasse",18,0
Taubergasse 1-3,"1170 Wien, Taubergasse",73,7
Christine-Nöstlinger-Hof,"1170 Wien, Rosensteingasse",264,14
Pretschgogasse 16,"1170 Wien, Pretschgogasse",46,2
Pezzlgasse 71-81,"1170 Wien, Pezzlgasse",71,1
Neuwaldegger Straße 19-21,"1170 Wien, Neuwaldegger Straße",48,3
Kastnergasse 28-30,"1170 Wien, Kastnergasse",37,1
Dürauergasse 9-13,"1170 Wien, Dürauergasse",175,4
Vollbadgasse 5,"1170 Wien, Vollbadgasse",184,15
Hernalser Hauptstraße 100,"1170 Wien, Hernalser Hauptstraße",47,7
Ortliebgasse 35-37,"1170 Wien, Ortliebgasse",55,5
Promenadegasse 19,"1170 Wien, Promenadegasse",95,4
Jörgerstraße 38,"1170 Wien, Jörgerstraße",25,3
Gschwandnergasse 53-57,"1170 Wien, Gschwandnergasse",58,6
Zeillergasse 39-43,"1170 Wien, Zeillergasse",97,9
Alszeile 118,"1170 Wien, Alszeile",122,16
Vollbadgasse 1,"1170 Wien, Vollbadgasse",18,0
Weißgasse 15,"1170 Wien, Weißgasse",55,4
Comeniusgasse 2,"1170 Wien, Comeniusgasse",112,6
Sautergasse 40-42,"1170 Wien, Sautergasse",53,4
Neuwaldegger Straße 3,"1170 Wien, Neuwaldegger Straße",27,4
Taubergasse 5-7,"1170 Wien, Taubergasse",48,2
Leopold-Ernst-Gasse 22,"1170 Wien, Leopold-Ernst-Gasse",28,1
Weidmanngasse 28,"1170 Wien, Weidmanngasse",17,2
Horneckgasse 16,"1170 Wien, Horneckgasse",10,0
Rosensteingasse 63,"1170 Wien, Rosensteingasse",11,0
Dornbacher Straße 119,"1170 Wien, Dornbacher Straße",20,0
Sautergasse 44,"1170 Wien, Sautergasse",12,0
Ortliebgasse 1-3,"1170 Wien, Ortliebgasse",43,7
Rosensteingasse 47-49,"1170 Wien, Rosensteingasse",37,1
Weidmanngasse 33,"1170 Wien, Weidmanngasse",20,2
Leopold-Ernst-Gasse 20,"1170 Wien, Leopold-Ernst-Gasse",15,1
Rosensteingasse 61,"1170 Wien, Rosensteingasse",11,1
Elterleinplatz 9-12,"1170 Wien, Elterleinplatz",111,10
Weidmanngasse 34,"1170 Wien, Weidmanngasse",25,0
Hernalser Hauptstraße 69,"1170 Wien, Hernalser Hauptstraße",79,3
Taubergasse 19,"1170 Wien, Taubergasse",50,1
Rötzergasse 17,"1170 Wien, Rötzergasse",77,5
Beheimgasse 59,"1170 Wien, Beheimgasse",19,1
Kalvarienberggasse 31,"1170 Wien, Kalvarienberggasse",0,1
Scheibenbergstraße 71,"1180 Wien, Scheibenbergstraße",1,5
Lacknergasse 96,"1180 Wien, Lacknergasse",31,8
Schopenhauerstraße 86,"1180 Wien, Schopenhauerstraße",13,1
Weimarer Straße 1,"1180 Wien, Weimarer Straße",23,3
Gentzgasse 45,"1180 Wien, Gentzgasse",27,4
Gentzgasse 79,"1180 Wien, Gentzgasse",18,4
Antonigasse 100,"1180 Wien, Antonigasse",13,2
Währinger Straße 188-190,"1180 Wien, Währinger Straße",269,14
Mollgasse 3-5,"1180 Wien, Mollgasse",51,6
Hockegasse 9,"1180 Wien, Hockegasse",33,4
Weimarer Straße 8-10,"1180 Wien, Weimarer Straße",66,4
Köhlergasse 1-3,"1180 Wien, Köhlergasse",33,5
Rudolf-Sigmund-Hof,"1180 Wien, Gersthofer Straße",273,20
Währinger Straße 165,"1180 Wien, Währinger Straße",9,3
Staudgasse 48-50,"1180 Wien, Staudgasse",15,1
Albrecht-Konecny-Hof,"1180 Wien, Schöffelgasse",64,6
Pötzleinsdorfer Straße 100,"1180 Wien, Pötzleinsdorfer Straße",27,3
Gabriele-Proft-Hof,"1180 Wien, Messerschmidtgasse",131,4
Teschnergasse 20,"1180 Wien, Teschnergasse",47,0
Simonygasse 2b,"1180 Wien, Simonygasse",125,15
Sternwartestraße 29,"1180 Wien, Sternwartestraße",16,0
Michaelerstraße 30,"1180 Wien, Michaelerstraße",34,3
Paulinengasse 13,"1180 Wien, Paulinengasse",27,6
Czartoryskigasse 62-68,"1180 Wien, Czartoryskigasse",186,5
Kreuzgasse 32,"1180 Wien, Kreuzgasse",14,2
Plenergasse 12-14,"1180 Wien, Plenergasse",42,3
Wielemansgasse 18-22,"1180 Wien, Wielemansgasse",65,6
Gymnasiumstraße 38,"1180 Wien, Gymnasiumstraße",27,4
Martinstraße 85,"1180 Wien, Martinstraße",16,0
Peter-Jordan-Straße 81,"1180 Wien, Peter-Jordan-Straße",151,13
Theresiengasse 69-71,"1180 Wien, Theresiengasse",29,2
Leitermayergasse 52,"1180 Wien, Leitermayergasse",35,0
Karlweisgasse 41,"1180 Wien, Karlweisgasse",53,6
Billrothstraße 77,"1190 Wien, Billrothstraße",22,1
Krottenbachstraße 40,"1190 Wien, Krottenbachstraße",55,9
Krottenbachstraße 37,"1190 Wien, Krottenbachstraße",13,3
Ruthgasse 7,"1190 Wien, Ruthgasse",51,10
Schegargasse 17,"1190 Wien, Schegargasse",58,3
Döblinger Gürtel 10,"1190 Wien, Döblinger Gürtel",33,2
Heiligenstädter Straße 146,"1190 Wien, Heiligenstädter Straße",34,2
