NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE_STATA;SUB_DISTRICT_CODE_VIE;NAME_STATA;NAME_VIE
AT1;AT13;AT130;91800;9180102;91802;Gentzgasse;Gentzgasse
AT1;AT13;AT130;91800;9180103;91803;Kreutzgasse;Kreutzgasse
AT1;AT13;AT130;91800;9180104;91804;Gersthof;Gersthof
AT1;AT13;AT130;91800;9180105;91805;Pötzleinsdorf;Pötzleinsdorf
AT1;AT13;AT130;91900;9190101;91901;Nußdorf - Kahlenbergerdorf;Nußberg - Kahlenbergerdorf
AT1;AT13;AT130;91900;9190102;91902;Karl Marx-Hof;Karl-Marx-Hof
AT1;AT13;AT130;91900;9190103;91903;Heiligenstädter Lände;Heiligenstädter Lände
AT1;AT13;AT130;91900;9190104;91904;Döblinger Hauptstraße;Döblinger Hauptstraße
AT1;AT13;AT130;91900;9190105;91905;Hohe Warte;Hohe Warte
AT1;AT13;AT130;91900;9190106;91906;Grinzing;Grinzing
AT1;AT13;AT130;91900;9190107;91907;Sievering;Sievering
AT1;AT13;AT130;91900;9190108;91908;In der Krim;In der Krim
AT1;AT13;AT130;91900;9190109;91909;Döblinger Cottage;Döblinger Cottage
AT1;AT13;AT130;91900;9190110;91910;Glanzing - Salmannsdorf;Glanzing - Salmannsdorf
AT1;AT13;AT130;92000;9200101;92001;Kapaunplatz;Kapaunplatz
AT1;AT13;AT130;92000;9200102;92002;Zwischenbrücken;Zwischenbrücken
AT1;AT13;AT130;92000;9200103;92003;Brigittaplatz;Brigittaplatz
AT1;AT13;AT130;92000;9200104;92004;Lorenz Müller-Gasse;Lorenz-Müller-Gasse
AT1;AT13;AT130;92000;9200105;92005;Wallensteinstraße;Wallensteinstraße
AT1;AT13;AT130;92000;9200106;92006;Wexstraße;Wexstraße
AT1;AT13;AT130;92000;9200107;92007;Höchstädtplatz;Höchstädtplatz
AT1;AT13;AT130;92000;9200108;92008;Nordwestbahnhof;Nordwestbahnhof
AT1;AT13;AT130;92100;9210101;92101;Stammersdorf;Stammersdorf
AT1;AT13;AT130;92100;9210102;92102;Stammersdorf - Brünnerstraße;Heeresspital
AT1;AT13;AT130;92100;9210103;92103;Hirschfeld;Hirschfeld
