Gebaeudebestand in 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Building stock in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_TOTAL;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_WSA_1;OBJ_WSA_2;OBJ_ANZWHG_0;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_FLNETTO_1;OBJ_FLNETTO_2;OBJ_FLNETTO_3;OBJ_FLNETTO_4;OBJ_FLNETTO_5;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6;OBJ_ANZGESCHO_7;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;REF_DATE
AT1;AT13;AT130;90900;90904;457;1;2;364;9;81;393;64;62;5;3;16;93;196;82;322;45;9;81;13;6;20;133;285;35;16;15;79;128;184;0;345;21;13;20;16;10;21;11;20211031
AT1;AT13;AT130;90900;90905;281;7;3;198;3;70;243;38;33;14;5;21;73;105;30;163;28;1;89;10;3;8;52;208;13;11;14;40;88;115;0;223;11;14;7;5;6;4;11;20211031
AT1;AT13;AT130;90900;90906;141;0;0;81;2;58;101;40;41;6;2;9;35;39;9;67;38;0;36;2;1;6;28;104;8;6;15;17;33;62;0;111;4;3;2;2;5;2;12;20211031
AT1;AT13;AT130;91000;91001;204;1;0;127;8;68;147;57;62;8;0;1;1;29;103;39;33;70;62;7;0;3;9;185;10;8;5;3;13;136;29;7;2;2;4;2;2;0;185;20211031
AT1;AT13;AT130;91000;91002;639;18;4;544;5;68;586;53;46;23;7;15;85;288;175;316;245;42;36;27;23;60;221;308;27;33;31;139;105;303;1;165;123;166;46;18;70;16;35;20211031
AT1;AT13;AT130;91000;91003;330;31;1;214;1;83;247;83;69;37;3;4;41;111;65;158;102;32;38;37;8;16;114;155;66;29;30;37;56;112;0;81;10;88;40;20;33;12;46;20211031
AT1;AT13;AT130;91000;91004;456;8;6;284;4;154;332;124;107;18;13;20;85;150;63;353;54;12;37;88;10;33;132;193;86;25;49;117;52;127;0;258;44;42;41;12;22;7;30;20211031
AT1;AT13;AT130;91000;91005;542;21;10;452;5;54;492;50;29;28;12;23;90;197;163;336;70;87;49;32;24;58;153;275;34;36;43;127;76;226;0;250;60;37;21;49;49;24;52;20211031
AT1;AT13;AT130;91000;91006;382;16;4;298;6;58;329;53;35;26;6;8;46;135;126;256;59;33;34;23;4;20;115;220;21;24;27;97;63;148;2;213;29;22;35;20;24;13;26;20211031
AT1;AT13;AT130;91000;91007;338;6;5;296;1;30;318;20;16;12;8;2;20;146;134;166;46;106;20;8;4;18;65;243;12;15;17;23;47;220;4;61;27;43;103;31;17;21;35;20211031
AT1;AT13;AT130;91000;91008;236;1;2;199;0;34;208;28;25;5;3;2;16;74;111;130;54;36;16;5;3;10;59;159;13;15;6;31;51;119;1;78;45;10;35;19;12;5;32;20211031
AT1;AT13;AT130;91000;91009;187;4;0;141;2;40;145;42;38;6;0;5;65;51;22;21;131;12;23;8;15;46;64;54;17;10;60;36;26;37;1;13;79;31;2;3;19;9;31;20211031
AT1;AT13;AT130;91000;91010;554;38;0;475;2;39;499;55;26;44;3;0;20;322;139;110;291;135;18;41;1;17;239;256;49;17;10;43;122;309;4;36;108;121;162;33;24;32;38;20211031
AT1;AT13;AT130;91000;91011;1182;924;14;191;2;51;868;314;34;941;14;3;17;87;86;870;217;75;20;939;22;13;109;99;579;384;38;79;39;63;0;2;277;40;134;65;341;94;229;20211031
AT1;AT13;AT130;91000;91012;75;12;0;23;0;40;33;42;36;15;0;0;0;3;21;21;5;13;36;18;0;1;5;51;27;11;5;2;5;14;11;2;1;4;5;8;7;12;36;20211031
AT1;AT13;AT130;91000;91013;1001;668;43;266;0;24;803;198;8;679;44;79;96;85;10;405;438;154;4;709;78;86;104;24;294;494;61;94;41;16;1;1;354;200;163;135;33;10;105;20211031
AT1;AT13;AT130;91000;91014;926;708;22;176;0;20;863;63;12;716;22;16;128;32;0;72;801;52;1;731;6;109;75;5;716;33;79;72;21;5;0;2;1;772;40;34;48;17;12;20211031
AT1;AT13;AT130;91000;91015;1126;908;18;128;4;68;726;400;53;924;19;7;11;50;62;937;62;103;24;916;29;33;44;104;642;333;21;30;29;67;4;57;121;123;133;88;90;115;399;20211031
AT1;AT13;AT130;91000;91016;2043;1791;42;142;1;67;1567;476;31;1819;46;14;40;62;31;1245;339;416;43;1734;97;57;115;40;1031;785;124;61;30;8;4;4;504;331;255;173;278;136;362;20211031
AT1;AT13;AT130;91000;91017;337;277;12;20;0;28;278;59;15;286;14;11;7;3;1;222;0;88;27;267;25;24;13;8;143;179;13;1;1;0;0;38;21;12;67;32;87;30;50;20211031
AT1;AT13;AT130;91000;91018;805;506;38;168;1;92;671;134;48;545;42;34;49;46;41;616;38;92;59;452;125;55;75;98;322;300;99;38;21;25;0;91;58;75;72;40;29;156;284;20211031
AT1;AT13;AT130;91000;91019;1021;719;52;119;0;131;783;238;90;746;57;54;51;11;12;899;39;33;50;726;95;80;53;67;593;315;68;38;6;1;0;66;63;108;159;54;123;244;204;20211031
AT1;AT13;AT130;91000;91020;278;0;0;245;1;32;248;30;29;1;1;1;47;110;89;9;261;0;8;2;1;2;103;170;19;4;7;90;14;138;6;0;0;1;153;113;2;2;7;20211031
