"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"H¸tteldorfer Straﬂe 3-5";"1150 Wien, H¸tteldorfer Straﬂe H¸tteldorfer Straﬂe";"";"";"1925";"Karl Dirnhuber";"nein";"";"";"68";"5";"https://www.wwpipe.at/web-portal/complex-description/0815303"
"Chrobakgasse 3-5";"1150 Wien, Chrobakgasse Chrobakgasse";"1925";"1926";"";"Arnold Hatschek";"nein";"";"";"60";"2";"https://www.wwpipe.at/web-portal/complex-description/0815305"
"Oeverseestraﬂe 25-29";"1150 Wien, Oeverseestraﬂe Oeverseestraﬂe";"1926";"1927";"";"Carl Witzmann";"nein";"";"";"114";"2";"https://www.wwpipe.at/web-portal/complex-description/0815307"
"Giselhergasse 6-12";"1150 Wien, Giselhergasse Giselhergasse";"1926";"1927";"";"Gottlieb Michal";"nein";"";"";"119";"17";"https://www.wwpipe.at/web-portal/complex-description/0815308"
"Neusserplatz 1";"1150 Wien, Neusserplatz Neusserplatz";"1926";"1927";"";"Michael Rosenauer";"nein";"";"";"84";"1";"https://www.wwpipe.at/web-portal/complex-description/0815311"
"Geyschl‰gergasse 2-12";"1150 Wien, Geyschl‰gergasse Geyschl‰gergasse";"1928";"1929";"";"Max Fellerer";"nein";"";"";"57";"4";"https://www.wwpipe.at/web-portal/complex-description/0815312"
"Pilgerimgasse 4-6";"1150 Wien, Pilgerimgasse Pilgerimgasse";"1930";"1931";"";"Viktor Lurje";"nein";"";"";"64";"3";"https://www.wwpipe.at/web-portal/complex-description/0815314"
"Gablenzgasse 35-37";"1150 Wien, Gablenzgasse Gablenzgasse";"1931";"1932";"";"Leo Kammel sen.";"ja";"";"";"116";"3";"https://www.wwpipe.at/web-portal/complex-description/0815315"
"Loeschenkohlgasse 30-32";"1150 Wien, Loeschenkohlgasse Loeschenkohlgasse";"1931";"1932";"";"Oskar Strnad";"nein";"";"";"77";"4";"https://www.wwpipe.at/web-portal/complex-description/0815316"
"Costagasse 15";"1150 Wien, Costagasse Costagasse";"1957";"1958";"";"Michael Otter";"nein";"";"";"19";"1";"https://www.wwpipe.at/web-portal/complex-description/0815317"
