"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Riesgasse 4";"1030 Wien, Riesgasse Riesgasse";"1926";"1927";"";"Oskar Unger";"nein";"";"";"38";"2";"https://www.wwpipe.at/web-portal/complex-description/0803306"
"Ludwig-Koeﬂler-Platz 3";"1030 Wien, Ludwig-Koeﬂler-Platz Ludwig-Koeﬂler-Platz";"1926";"1927";"";"Martin Ziegler, Josef Berger, Arthur Berger";"nein";"";"";"125";"16";"https://www.wwpipe.at/web-portal/complex-description/0803307"
"Dietrichgasse 32-34";"1030 Wien, Dietrichgasse Dietrichgasse";"1926";"1927";"";"Bruno Richter";"ja";"";"";"67";"1";"https://www.wwpipe.at/web-portal/complex-description/0803308"
"Khunngasse 6-8";"1030 Wien, Khunngasse Khunngasse";"1927";"1928";"";"Josef Beer";"nein";"";"";"43";"6";"https://www.wwpipe.at/web-portal/complex-description/0803309"
"Hagenm¸llergasse 25";"1030 Wien, Hagenm¸llergasse Hagenm¸llergasse";"1927";"1928";"";"Hugo Mayer";"nein";"";"";"68";"4";"https://www.wwpipe.at/web-portal/complex-description/0803311"
"Klopsteinplatz 6";"1030 Wien, Klopsteinplatz Klopsteinplatz";"1927";"1928";"";"Walter Sobotka";"nein";"";"";"62";"4";"https://www.wwpipe.at/web-portal/complex-description/0803312"
"Hagenm¸llergasse 21-23";"1030 Wien, Hagenm¸llergasse Hagenm¸llergasse";"1927";"1928";"";"Karl Dirnhuber";"ja";"";"";"123";"9";"https://www.wwpipe.at/web-portal/complex-description/0803313"
"Eslarngasse 3-9";"1030 Wien, Eslarngasse Eslarngasse";"1959";"1960";"";"Hanns Hilscher";"ja";"";"";"85";"3";"https://www.wwpipe.at/web-portal/complex-description/0603317"
"Weinlechnergasse 1";"1030 Wien, Weinlechnergasse Weinlechnergasse";"1928";"1929";"";"August Hauser";"nein";"2017";"2017";"26";"0";"https://www.wwpipe.at/web-portal/complex-description/0803319"
"Khunngasse 20";"1030 Wien, Khunngasse Khunngasse";"1928";"1929";"";"Rudolf Scherer";"ja";"";"";"16";"0";"https://www.wwpipe.at/web-portal/complex-description/0803320"
"Gˆllnergasse 25";"1030 Wien, Gˆllnergasse Gˆllnergasse";"1928";"1929";"";"Franz Kuhn";"nein";"";"";"10";"0";"https://www.wwpipe.at/web-portal/complex-description/0803321"
"Weiﬂgerberl‰nde 24";"1030 Wien, Weiﬂgerberl‰nde Weiﬂgerberl‰nde";"1929";"1930";"";"Alexander Graf";"nein";"";"";"23";"2";"https://www.wwpipe.at/web-portal/complex-description/0803322"
"Sch¸tzengasse 27-29";"1030 Wien, Sch¸tzengasse Sch¸tzengasse";"1966";"1968";"";"Josef Ludwig Kalbac";"nein";"";"";"37";"2";"https://www.wwpipe.at/web-portal/complex-description/0403323"
"Alice-und-Heinrich-Scheuer-Hof";"1030 Wien, Neulinggasse Neulinggasse";"1930";"1931";"";"Armand Weiser";"ja";"";"";"55";"5";"https://www.wwpipe.at/web-portal/complex-description/0803324"
"Ziehrerplatz 8";"1030 Wien, Ziehrerplatz Ziehrerplatz";"1931";"1932";"";"Theophil Nieman";"nein";"";"";"30";"1";"https://www.wwpipe.at/web-portal/complex-description/0803326"
"Weiﬂgerberl‰nde 30-36";"1030 Wien, Weiﬂgerberl‰nde Weiﬂgerberl‰nde";"1931";"1932";"";"Friedrich Schlossberg";"ja";"";"";"144";"12";"https://www.wwpipe.at/web-portal/complex-description/0803327"
"Landstraﬂer Hauptstraﬂe 129";"1030 Wien, Landstraﬂer Hauptstraﬂe Landstraﬂer Hauptstraﬂe";"1937";"1938";"";"Wilhelm Peterle";"ja";"";"";"9";"2";"https://www.wwpipe.at/web-portal/complex-description/0803329"
"Marxergasse 12";"1030 Wien, Marxergasse Marxergasse";"1967";"1968";"";"Franz Tisina";"nein";"2019";"2021";"32";"5";"https://www.wwpipe.at/web-portal/complex-description/0403330"
"Schlachthausgasse 44";"1030 Wien, Schlachthausgasse Schlachthausgasse";"1937";"1938";"";"Otto Nadel";"ja";"2018";"2021";"24";"1";"https://www.wwpipe.at/web-portal/complex-description/0803331"
"Hainburger Straﬂe 57+61";"1030 Wien, Hainburger Straﬂe Hainburger Straﬂe";"";"";"1906";"Wilhelm Glattes, Kurt Nehrer, Friedrich Erhart, Fritz Purr";"ja";"";"";"121";"16";"https://www.wwpipe.at/web-portal/complex-description/0803332"
"Strohgasse 14f";"1030 Wien, Strohgasse Strohgasse";"1949";"1950";"";"Anton Brenner";"ja";"";"";"35";"2";"https://www.wwpipe.at/web-portal/complex-description/0803333"
"Barthgasse 5-7";"1030 Wien, Barthgasse Barthgasse";"1949";"1950";"";"Wilhelm Sch¸tte, Margarete Sch¸tte-Lihotzky";"ja";"";"";"36";"6";"https://www.wwpipe.at/web-portal/complex-description/0803334"
"Baumgasse 63-65";"1030 Wien, Baumgasse Baumgasse";"1949";"1951";"";"Wilfried Poszpisily";"nein";"";"";"24";"0";"https://www.wwpipe.at/web-portal/complex-description/0803335"
"Kegelgasse 44";"1030 Wien, Kegelgasse Kegelgasse";"1950";"1951";"";"Friedrich (Fritz) Gr¸nberger";"ja";"";"";"27";"1";"https://www.wwpipe.at/web-portal/complex-description/0803336"
"Rudolf-H‰user-Hof";"1030 Wien, Kleingasse Kleingasse";"1950";"1951";"";"Josef Baudys, Rudolf Eisler";"ja";"";"";"125";"3";"https://www.wwpipe.at/web-portal/complex-description/0803337"
"Untere Weiﬂgerberstraﬂe 53-59";"1030 Wien, Untere Weiﬂgerberstraﬂe Untere Weiﬂgerberstraﬂe";"1950";"1951";"";"Alfons Hetmanek";"ja";"";"";"79";"2";"https://www.wwpipe.at/web-portal/complex-description/0803338"
"Paracelsusgasse 4";"1030 Wien, Paracelsusgasse Paracelsusgasse";"1949";"1951";"";"Franz Kuhn";"ja";"";"";"19";"1";"https://www.wwpipe.at/web-portal/complex-description/0803339"
"Kˆlblgasse 36";"1030 Wien, Kˆlblgasse Kˆlblgasse";"1951";"1952";"";"Rudolf Scherer";"nein";"";"";"39";"1";"https://www.wwpipe.at/web-portal/complex-description/0803340"
"Am Modenapark 15";"1030 Wien, Am Modenapark Am Modenapark";"1951";"1952";"";"Robert Ulrich";"nein";"";"";"27";"1";"https://www.wwpipe.at/web-portal/complex-description/0803341"
"Uchatiusgasse 10-12";"1030 Wien, Uchatiusgasse Uchatiusgasse";"1951";"1952";"";"Georg Fleischmann";"nein";"";"";"43";"2";"https://www.wwpipe.at/web-portal/complex-description/0803342"
"Zaunergasse 12-14";"1030 Wien, Zaunergasse Zaunergasse";"1952";"1953";"";"Otto Artner";"ja";"";"";"147";"6";"https://www.wwpipe.at/web-portal/complex-description/0803343"
"Schimmelgasse 23";"1030 Wien, Schimmelgasse Schimmelgasse";"1952";"1953";"";"Josef Hansmann";"nein";"";"";"47";"3";"https://www.wwpipe.at/web-portal/complex-description/0803345"
"Jauresgasse 5-7";"1030 Wien, Jauresgasse Jauresgasse";"1952";"1953";"";"Erwin Bˆck";"nein";"";"";"42";"1";"https://www.wwpipe.at/web-portal/complex-description/0803346"
"Baumgasse 12";"1030 Wien, Baumgasse Baumgasse";"1969";"1970";"";"Armin Dolesch";"nein";"";"";"22";"5";"https://www.wwpipe.at/web-portal/complex-description/0003347"
"Gerlgasse 14";"1030 Wien, Gerlgasse Gerlgasse";"1952";"1953";"";"Frank Schl‰ger, Fritz Slama";"ja";"";"";"111";"3";"https://www.wwpipe.at/web-portal/complex-description/0803348"
"Salmgasse 19";"1030 Wien, Salmgasse Salmgasse";"1953";"1954";"";"Karl Heiny";"nein";"";"";"48";"1";"https://www.wwpipe.at/web-portal/complex-description/0803349"
"Schlachthausgasse 39";"1030 Wien, Schlachthausgasse Schlachthausgasse";"1953";"1954";"";"J. Parzer";"nein";"";"";"109";"5";"https://www.wwpipe.at/web-portal/complex-description/0803351"
"Kurt-Steyrer-Hof";"1030 Wien, Landstraﬂer Hauptstraﬂe Landstraﬂer Hauptstraﬂe";"1954";"1955";"";"Johann (Hans) Stˆhr";"ja";"";"";"71";"15";"https://www.wwpipe.at/web-portal/complex-description/0803352"
"Markhofgasse 20";"1030 Wien, Markhofgasse Markhofgasse";"1969";"1971";"";"Adolf Illner, Ferdinand Gaisser";"nein";"";"";"39";"4";"https://www.wwpipe.at/web-portal/complex-description/0403353"
"Landstraﬂer Hauptstraﬂe 173-175";"1030 Wien, Landstraﬂer Hauptstraﬂe Landstraﬂer Hauptstraﬂe";"1953";"1956";"";"Alfred Bartosch, Rudolf Jarosch, Friedrich Albrecht, Ferdinand Zimmermann, Franz Mˆrth";"ja";"";"";"393";"41";"https://www.wwpipe.at/web-portal/complex-description/0803354"
"Fasangasse 35-37";"1030 Wien, Fasangasse Fasangasse";"1954";"1955";"";"Friedrich Pangratz";"nein";"";"";"78";"7";"https://www.wwpipe.at/web-portal/complex-description/0803356"
"Apostelgasse 19-21";"1030 Wien, Apostelgasse Apostelgasse";"1954";"1955";"";"Paul Artmann";"nein";"";"";"73";"2";"https://www.wwpipe.at/web-portal/complex-description/0803357"
"Markhofgasse 12-18";"1030 Wien, Markhofgasse Markhofgasse";"1954";"1956";"";"Wilhelm Cermak, Karl Schwanzer, Rudolf Pamlitschka";"ja";"";"";"270";"8";"https://www.wwpipe.at/web-portal/complex-description/0803358"
"Kollergasse 11-13";"1030 Wien, Kollergasse Kollergasse";"1958";"1959";"";"Karl Peroutka";"ja";"";"";"29";"0";"https://www.wwpipe.at/web-portal/complex-description/0603360"
"Leonhardgasse 2-10";"1030 Wien, Leonhardgasse Leonhardgasse";"1957";"1958";"";"Hermann Stiegholzer, Heinrich Reitst‰tter, Robert Kotas, Hilde Schwaiger, Ferdinand Riedl, Hermann Aichinger";"ja";"";"";"332";"25";"https://www.wwpipe.at/web-portal/complex-description/0803361"
"Hofmannsthalgasse 12-24";"1030 Wien, Hofmannsthalgasse Hofmannsthalgasse";"1957";"1959";"";"Alfons Hetmanek, Wilhelm Urbanek, Elisabeth Pongracz, Walter Prutscher, Anton Josef Osika";"ja";"";"";"290";"10";"https://www.wwpipe.at/web-portal/complex-description/0803363"
"Gestettengasse 21a";"1030 Wien, Gestettengasse Gestettengasse";"1958";"1960";"";"Helene Koller-Buchwieser";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/0603364"
"Markhofgasse 6";"1030 Wien, Markhofgasse Markhofgasse";"1959";"1961";"";"Hilde Filas";"ja";"";"";"29";"4";"https://www.wwpipe.at/web-portal/complex-description/0603365"
"Kleingasse 2";"1030 Wien, Kleingasse Kleingasse";"1959";"1961";"";"Walter Totz";"nein";"";"";"43";"2";"https://www.wwpipe.at/web-portal/complex-description/0603366"
"Gestettengasse 17";"1030 Wien, Gestettengasse Gestettengasse";"1959";"1961";"";"Theophil Nieman, Kurt Vana, Ernst Berg, Heinrich Vana";"nein";"";"";"62";"5";"https://www.wwpipe.at/web-portal/complex-description/0603367"
"Leonhardgasse 7-13";"1030 Wien, Leonhardgasse Leonhardgasse";"1961";"1962";"";"Herbert Prehsler, Eduard F. Sekler";"nein";"";"";"80";"2";"https://www.wwpipe.at/web-portal/complex-description/0603368"
"Erdbergstraﬂe 16-28";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1961";"1963";"";"Willy Grunert";"ja";"";"";"87";"11";"https://www.wwpipe.at/web-portal/complex-description/0603369"
"Erdbergstraﬂe 126-130";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1962";"1963";"";"Ernst Berg, Theophil Nieman, Heinrich Vana, Kurt Vana";"nein";"";"";"45";"10";"https://www.wwpipe.at/web-portal/complex-description/0603370"
"Aspangstraﬂe 11-13";"1030 Wien, Aspangstraﬂe Aspangstraﬂe";"1960";"1961";"";"Karl Janeschitz";"nein";"";"";"23";"0";"https://www.wwpipe.at/web-portal/complex-description/0603371"
"Erdbergstraﬂe 134";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1962";"1963";"";"Kurt Vana, Heinrich Vana, Theophil Nieman, Ernst Berg";"nein";"";"";"11";"2";"https://www.wwpipe.at/web-portal/complex-description/0603372"
"Erdbergstraﬂe 140-144";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1962";"1963";"";"Rudolf Brandst‰tter";"nein";"";"";"32";"5";"https://www.wwpipe.at/web-portal/complex-description/0603373"
"Kundmanngasse 30-32";"1030 Wien, Kundmanngasse Kundmanngasse";"1962";"1963";"";"Ferdinand Riedl";"nein";"";"";"30";"6";"https://www.wwpipe.at/web-portal/complex-description/0603374"
"Schlachthausgasse 3";"1030 Wien, Schlachthausgasse Schlachthausgasse";"1962";"1963";"";"Karl Kupsky";"ja";"";"";"104";"7";"https://www.wwpipe.at/web-portal/complex-description/0603375"
"Untere Weiﬂgerberstraﬂe 18";"1030 Wien, Untere Weiﬂgerberstraﬂe Untere Weiﬂgerberstraﬂe";"1969";"1971";"";"Edgar Gˆth";"ja";"";"";"48";"6";"https://www.wwpipe.at/web-portal/complex-description/0003376"
"Marie-Jahoda-Hof";"1030 Wien, Kegelgasse Kegelgasse";"1975";"1977";"";"Alfred Viktor Pal";"nein";"";"";"36";"4";"https://www.wwpipe.at/web-portal/complex-description/1203377"
"Erdbergstraﬂe 12-14";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1973";"1975";"";"Ernst H. Huss";"ja";"";"";"66";"10";"https://www.wwpipe.at/web-portal/complex-description/1203378"
"Pfarrhofgasse 14";"1030 Wien, Pfarrhofgasse Pfarrhofgasse";"1975";"1977";"";"Herbert M¸ller-Hartburg";"nein";"";"";"15";"1";"https://www.wwpipe.at/web-portal/complex-description/1403380"
"Lˆwengasse 5";"1030 Wien, Lˆwengasse Lˆwengasse";"1979";"1981";"";"Ernst H. Huss";"nein";"";"";"11";"2";"https://www.wwpipe.at/web-portal/complex-description/1503382"
"Trubelgasse 10";"1030 Wien, Trubelgasse Trubelgasse";"1980";"1981";"";"Paul Slupetzky";"nein";"";"";"26";"0";"https://www.wwpipe.at/web-portal/complex-description/1603383"
"Erdbergstraﬂe 36";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1977";"1979";"";"Walter Muchar";"ja";"";"";"28";"3";"https://www.wwpipe.at/web-portal/complex-description/1503384"
"Arenberggasse 6";"1030 Wien, Arenberggasse Arenberggasse";"1981";"1982";"";"Herbert Neuroth";"nein";"";"";"18";"0";"https://www.wwpipe.at/web-portal/complex-description/1603386"
"Apostelgasse 35";"1030 Wien, Apostelgasse Apostelgasse";"1981";"1983";"";"Norbert Mandl";"nein";"";"";"24";"0";"https://www.wwpipe.at/web-portal/complex-description/1603387"
"W‰llischgasse 10-12";"1030 Wien, W‰llischgasse W‰llischgasse";"1981";"1983";"";"Rudolf Pamlitschka";"nein";"";"";"35";"0";"https://www.wwpipe.at/web-portal/complex-description/1603388"
"Matth‰usgasse 3";"1030 Wien, Matth‰usgasse Matth‰usgasse";"1983";"1984";"";"Johann Georg Gsteu";"nein";"";"";"14";"0";"https://www.wwpipe.at/web-portal/complex-description/1703391"
"Untere Weiﬂgerberstraﬂe 4";"1030 Wien, Untere Weiﬂgerberstraﬂe Untere Weiﬂgerberstraﬂe";"1986";"1988";"";"Peter Koban";"nein";"";"";"8";"0";"https://www.wwpipe.at/web-portal/complex-description/1903392"
"Dietrichgasse 35-37";"1030 Wien, Dietrichgasse Dietrichgasse";"1987";"1989";"";"Gerhard Krampf";"nein";"";"";"36";"0";"https://www.wwpipe.at/web-portal/complex-description/1903394"
"Blattgasse 5";"1030 Wien, Blattgasse Blattgasse";"1989";"1991";"";"Maschek & Schmidt";"nein";"";"";"43";"0";"https://www.wwpipe.at/web-portal/complex-description/1903395"
"Dietrichgasse 45";"1030 Wien, Dietrichgasse Dietrichgasse";"1987";"1988";"";"Johann Schobermayr";"nein";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/1903397"
"Haidingergasse 24";"1030 Wien, Haidingergasse Haidingergasse";"1989";"1991";"";"Friedrich Moser";"nein";"";"";"25";"1";"https://www.wwpipe.at/web-portal/complex-description/2003398"
"W¸rtzlerstraﬂe 23";"1030 Wien, W¸rtzlerstraﬂe W¸rtzlerstraﬂe";"1993";"1994";"";"Heinz Ekhart";"nein";"";"";"21";"3";"https://www.wwpipe.at/web-portal/complex-description/2103399"
"Kardinal-Nagl-Platz 6";"1030 Wien, Kardinal-Nagl-Platz Kardinal-Nagl-Platz";"1992";"1994";"";"G¸nther Oberhofer";"nein";"";"";"38";"4";"https://www.wwpipe.at/web-portal/complex-description/2103400"
"Erdbergstraﬂe 5-7";"1030 Wien, Erdbergstraﬂe Erdbergstraﬂe";"1993";"1995";"";"Edgar Gˆth, Peter Schwager";"nein";"";"";"29";"2";"https://www.wwpipe.at/web-portal/complex-description/2303401"
"Graf-Starhemberg-Gasse 40-42";"1040 Wien, Graf-Starhemberg-Gasse Graf-Starhemberg-Gasse";"1958";"1961";"";"Alfred Kraupa";"nein";"";"";"75";"2";"https://www.wwpipe.at/web-portal/complex-description/0304006"
"Preﬂgasse 7";"1040 Wien, Preﬂgasse Preﬂgasse";"";"";"1950";"Franz Sperlich";"nein";"";"";"22";"5";"https://www.wwpipe.at/web-portal/complex-description/0304012"
"Schelleingasse 1";"1040 Wien, Schelleingasse Schelleingasse";"1963";"1965";"";"Ernst Otto Hoffmann";"ja";"";"";"17";"1";"https://www.wwpipe.at/web-portal/complex-description/0304022"
"Margaretenstraﬂe 40";"1040 Wien, Margaretenstraﬂe Margaretenstraﬂe";"1969";"1970";"";"Lionore Regnier-Perin";"nein";"";"";"21";"3";"https://www.wwpipe.at/web-portal/complex-description/0304027"
"Autokaderstraﬂe 3-7";"1210 Wien, Autokaderstraﬂe Autokaderstraﬂe";"1967";"1968";"";"Oskar Payer, Peter Payer";"ja";"";"";"973";"3";"https://www.wwpipe.at/web-portal/complex-description/0421334"
"Favoritenstraﬂe 42";"1040 Wien, Favoritenstraﬂe Favoritenstraﬂe";"";"";"1888";"Eduard Frauenfeld jun.";"nein";"";"";"13";"4";"https://www.wwpipe.at/web-portal/complex-description/0304036"
"Margaretenstraﬂe 46";"1040 Wien, Margaretenstraﬂe Margaretenstraﬂe";"1952";"1956";"";"Franz Wafler sen.";"nein";"";"";"23";"2";"https://www.wwpipe.at/web-portal/complex-description/0304045"
"Favoritenstraﬂe 45";"1040 Wien, Favoritenstraﬂe Favoritenstraﬂe";"1951";"1951";"";"Leonhard G. Schˆppler";"nein";"";"";"32";"4";"https://www.wwpipe.at/web-portal/complex-description/0304054"
"Theresianumgasse 9";"1040 Wien, Theresianumgasse Theresianumgasse";"1958";"1958";"";"Wilhelm Urbanek";"nein";"";"";"46";"2";"https://www.wwpipe.at/web-portal/complex-description/0304058"
"Favoritenstraﬂe 43";"1040 Wien, Favoritenstraﬂe Favoritenstraﬂe";"1956";"1956";"";"Leonhard G. Schˆppler";"nein";"";"";"14";"2";"https://www.wwpipe.at/web-portal/complex-description/0304059"
"Petzvalgasse 1-3";"1040 Wien, Petzvalgasse Petzvalgasse";"1928";"1930";"";"Josef (Jaroslav) Bayer, Walter Schwarz";"nein";"";"";"36";"2";"https://www.wwpipe.at/web-portal/complex-description/0804302"
"Schelleingasse 18-20";"1040 Wien, Schelleingasse Schelleingasse";"1932";"1933";"";"Wilhelm Peterle";"ja";"";"";"35";"2";"https://www.wwpipe.at/web-portal/complex-description/0804304"
"Schelleingasse 27-29";"1040 Wien, Schelleingasse Schelleingasse";"1932";"1934";"";"Karl Schmalhofer";"ja";"";"";"39";"3";"https://www.wwpipe.at/web-portal/complex-description/0804305"
"Kolschitzkygasse 9-13";"1040 Wien, Kolschitzkygasse Kolschitzkygasse";"1949";"1950";"";"Otto Nadel";"ja";"";"";"105";"12";"https://www.wwpipe.at/web-portal/complex-description/0804306"
"Karolinengasse 24";"1040 Wien, Karolinengasse Karolinengasse";"1950";"1950";"";"Heinrich Ried";"nein";"";"";"11";"0";"https://www.wwpipe.at/web-portal/complex-description/0804307"
"Rainergasse 26-28";"1040 Wien, Rainergasse Rainergasse";"1950";"1951";"";"Jaro K. Merinsky, Carl Rˆssler";"ja";"";"";"54";"4";"https://www.wwpipe.at/web-portal/complex-description/0804308"
"Belvederegasse 36-38";"1040 Wien, Belvederegasse Belvederegasse";"1950";"1951";"";"Kurt Reinhart";"nein";"";"";"55";"3";"https://www.wwpipe.at/web-portal/complex-description/0804310"
"Rainergasse 13";"1040 Wien, Rainergasse Rainergasse";"1952";"1952";"";"Fritz Bˆhm-Raffay";"nein";"";"";"26";"0";"https://www.wwpipe.at/web-portal/complex-description/0804311"
"Rechte Wienzeile 25-27";"1040 Wien, Rechte Wienzeile Rechte Wienzeile";"1952";"1953";"";"Kurt Walder, Adolf H. Kautzky";"ja";"";"";"101";"12";"https://www.wwpipe.at/web-portal/complex-description/0804312"
"Margaretenstraﬂe 31";"1040 Wien, Margaretenstraﬂe Margaretenstraﬂe";"1970";"1972";"";"Gustav Hoppe";"ja";"";"";"18";"3";"https://www.wwpipe.at/web-portal/complex-description/0404313"
"Schelleingasse 28-30";"1040 Wien, Schelleingasse Schelleingasse";"1952";"1953";"";"Joseph Zimmel, Anton Siegl";"ja";"";"";"69";"2";"https://www.wwpipe.at/web-portal/complex-description/0804314"
"Rainergasse 23-25";"1040 Wien, Rainergasse Rainergasse";"1959";"1960";"";"Josef Musil, Kurt Walder, Karl Brandner";"nein";"";"";"39";"0";"https://www.wwpipe.at/web-portal/complex-description/0604315"
"Schelleingasse 3";"1040 Wien, Schelleingasse Schelleingasse";"1957";"1958";"";"Ernst Otto Hoffmann";"nein";"";"";"18";"1";"https://www.wwpipe.at/web-portal/complex-description/0804317"
"Margaretenstraﬂe 36";"1040 Wien, Margaretenstraﬂe Margaretenstraﬂe";"1969";"1970";"";"Gustav Hoppe";"nein";"";"";"19";"2";"https://www.wwpipe.at/web-portal/complex-description/0004318"
"Graf-Starhemberg-Gasse 35";"1040 Wien, Graf-Starhemberg-Gasse Graf-Starhemberg-Gasse";"1979";"1981";"";"Theo(dor) Trojan";"nein";"";"";"17";"1";"https://www.wwpipe.at/web-portal/complex-description/1604320"
"Paulanergasse 3";"1040 Wien, Paulanergasse Paulanergasse";"1980";"1982";"";"Gerhard Krampf, Karl Schwanzer";"ja";"";"";"37";"7";"https://www.wwpipe.at/web-portal/complex-description/1504322"
"Viktorgasse 4";"1040 Wien, Viktorgasse Viktorgasse";"1984";"1986";"";"Johann Georg Gsteu";"nein";"";"";"12";"0";"https://www.wwpipe.at/web-portal/complex-description/1704323"
"Goldeggasse 18";"1040 Wien, Goldeggasse Goldeggasse";"1986";"1988";"";"Hans Krupitza";"nein";"";"";"24";"1";"https://www.wwpipe.at/web-portal/complex-description/1904324"
"Karolinengasse 14";"1040 Wien, Karolinengasse Karolinengasse";"1984";"1986";"";"Adelio Espinosa";"nein";"";"";"23";"0";"https://www.wwpipe.at/web-portal/complex-description/1704325"
"Karolinengasse 26";"1040 Wien, Karolinengasse Karolinengasse";"1984";"1986";"";"Adelio Espinosa";"nein";"";"";"20";"0";"https://www.wwpipe.at/web-portal/complex-description/1704326"
"Mommsengasse 18";"1040 Wien, Mommsengasse Mommsengasse";"1993";"1994";"";"Peter Gypser";"nein";"";"";"11";"0";"https://www.wwpipe.at/web-portal/complex-description/2304327"
"Karolinengasse 15";"1040 Wien, Karolinengasse Karolinengasse";"1993";"1994";"";"Peter Gypser";"nein";"";"";"17";"2";"https://www.wwpipe.at/web-portal/complex-description/2304328"
"Argentinierstraﬂe 44";"1040 Wien, Argentinierstraﬂe Argentinierstraﬂe";"1993";"1994";"";"Michael A. Hein";"nein";"";"";"25";"1";"https://www.wwpipe.at/web-portal/complex-description/2304329"
"Gieﬂaufgasse 34";"1050 Wien, Gieﬂaufgasse Gieﬂaufgasse";"1956";"1958";"";"Adolf Wˆlzl";"nein";"";"";"56";"0";"https://www.wwpipe.at/web-portal/complex-description/0305017"
"Paletzgasse 15";"1160 Wien, Paletzgasse Paletzgasse";"1928";"1929";"";"Ludwig Schˆne";"nein";"";"";"44";"0";"https://www.wwpipe.at/web-portal/complex-description/0816316"
"Leystraﬂe 23";"1200 Wien, Leystraﬂe Leystraﬂe";"1930";"1931";"";"Rudolf Perco";"nein";"";"";"389";"8";"https://www.wwpipe.at/web-portal/complex-description/0820315"
"Brandmayergasse 24";"1050 Wien, Brandmayergasse Brandmayergasse";"1928";"1929";"";"Egon Riss, Fritz Judtmann";"nein";"";"";"67";"7";"https://www.wwpipe.at/web-portal/complex-description/0805308"
"Ernst-Hinterberger-Hof";"1050 Wien, Margareteng¸rtel Margareteng¸rtel";"1926";"1929";"";"Adolf Jelletz";"ja";"";"";"105";"6";"https://www.wwpipe.at/web-portal/complex-description/0805309"
"Fendigasse 19-21";"1050 Wien, Fendigasse Fendigasse";"1930";"1931";"";"Hermann Stiegholzer, Herbert Ferdinand Kastinger";"nein";"";"";"72";"4";"https://www.wwpipe.at/web-portal/complex-description/0805312"
"Rechte Wienzeile 71";"1050 Wien, Rechte Wienzeile Rechte Wienzeile";"1937";"1937";"";"Konstantin Peller";"ja";"";"";"50";"4";"https://www.wwpipe.at/web-portal/complex-description/0805313"
"Gassergasse 24-26";"1050 Wien, Gassergasse Gassergasse";"1938";"1938";"";"Karl Ehn";"nein";"";"";"59";"2";"https://www.wwpipe.at/web-portal/complex-description/0805314"
"Brandmayergasse 27";"1050 Wien, Brandmayergasse Brandmayergasse";"1937";"1939";"";"Adolf Stˆhr";"ja";"";"";"81";"3";"https://www.wwpipe.at/web-portal/complex-description/0805316"
"Gassergasse 48-50";"1050 Wien, Gassergasse Gassergasse";"1961";"1962";"";"Oskar Trubel";"nein";"";"";"51";"3";"https://www.wwpipe.at/web-portal/complex-description/0605317"
"Hauslabgasse 25";"1050 Wien, Hauslabgasse Hauslabgasse";"1938";"1938";"";"Karl Ehn";"nein";"2016";"2018";"29";"0";"https://www.wwpipe.at/web-portal/complex-description/0805318"
"Hauslabgasse 24";"1050 Wien, Hauslabgasse Hauslabgasse";"1939";"1939";"";"Karl Ehn";"nein";"2015";"2020";"29";"4";"https://www.wwpipe.at/web-portal/complex-description/0805319"
"Wiedner Hauptstraﬂe 103";"1050 Wien, Wiedner Hauptstraﬂe Wiedner Hauptstraﬂe";"1938";"1938";"";"Karl Ehn";"nein";"";"";"9";"2";"https://www.wwpipe.at/web-portal/complex-description/0805320"
"Siebenbrunnengasse 76-80";"1050 Wien, Siebenbrunnengasse Siebenbrunnengasse";"1936";"1936";"";"Johann (Hans) Stˆhr";"ja";"";"";"71";"5";"https://www.wwpipe.at/web-portal/complex-description/0805321"
"Gartengasse 9-11";"1050 Wien, Gartengasse Gartengasse";"1967";"1968";"";"G¸nther Ludwig";"nein";"";"";"45";"5";"https://www.wwpipe.at/web-portal/complex-description/0405322"
"Blechturmgasse 23-27";"1050 Wien, Blechturmgasse Blechturmgasse";"1950";"1951";"";"Josef Hoffmann, Josef Ludwig Kalbac";"nein";"";"";"78";"1";"https://www.wwpipe.at/web-portal/complex-description/0805325"
"Laurenzgasse 14-18";"1050 Wien, Laurenzgasse Laurenzgasse";"1950";"1951";"";"Bruno Tinhofer, Franz Wosatka";"ja";"";"";"105";"7";"https://www.wwpipe.at/web-portal/complex-description/0805326"
"Reinprechtsdorfer Straﬂe 51";"1050 Wien, Reinprechtsdorfer Straﬂe Reinprechtsdorfer Straﬂe";"1951";"1951";"";"Alfred Wanko";"nein";"";"";"17";"4";"https://www.wwpipe.at/web-portal/complex-description/0805327"
